0:0:0:0:0:0:0:1 - - [24/Apr/2020:22:02:46 +0900] "GET /BBS/bbs.jsp?pageNumber=1 HTTP/1.1" 200 4017
0:0:0:0:0:0:0:1 - - [24/Apr/2020:22:02:46 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2020:22:02:46 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2020:22:03:02 +0900] "GET /BBS/view.jsp?bbsID=8 HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [24/Apr/2020:22:03:07 +0900] "GET /BBS/view.jsp?bbsID=10 HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [24/Apr/2020:22:04:54 +0900] "GET /BBS/bbs.jsp?pageNumber=1 HTTP/1.1" 200 4119
0:0:0:0:0:0:0:1 - - [24/Apr/2020:22:04:54 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2020:22:04:55 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2020:22:05:11 +0900] "GET /BBS/bbs.jsp?pageNumber=1 HTTP/1.1" 200 4119
0:0:0:0:0:0:0:1 - - [24/Apr/2020:22:05:11 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2020:22:05:11 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2020:22:05:13 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1519
0:0:0:0:0:0:0:1 - - [24/Apr/2020:22:05:13 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2020:22:05:13 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2020:22:05:14 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4119
0:0:0:0:0:0:0:1 - - [24/Apr/2020:22:05:14 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2020:22:05:14 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2020:22:05:26 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4119
0:0:0:0:0:0:0:1 - - [24/Apr/2020:22:05:26 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2020:22:05:26 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2020:22:05:26 +0900] "GET /BBS/view.jsp?bbsID=11 HTTP/1.1" 404 766
